,0
668,4
1107,4
1767,4
1317,4
660,4
178,4
1253,4
169,4
547,4
1144,4
1277,4
1272,4
1271,4
551,4
1812,4
1161,4
1106,4
1819,4
697,4
1095,4
512,4
696,4
1925,4
219,4
218,4
1736,4
77,4
81,4
82,4
1080,4
206,4
688,4
1753,4
1335,4
139,4
749,4
59,4
1679,4
1490,4
421,4
418,4
770,4
1832,4
1643,4
905,4
368,4
779,4
1533,4
299,4
1450,4
124,4
2007,4
1493,4
920,4
1865,4
396,4
928,4
589,4
1512,4
758,4
838,4
2013,4
355,4
342,4
1659,4
436,4
129,4
868,4
49,4
1438,4
1565,4
430,4
587,4
55,4
1660,4
867,4
529,3
856,3
1569,3
123,3
308,3
923,3
580,3
665,3
919,3
1572,3
597,3
1772,3
151,3
1608,3
1525,3
1549,3
1316,3
1113,3
1587,3
10,3
644,3
882,3
891,3
1789,3
1591,3
549,3
1132,3
1286,3
1509,3
1841,3
171,3
127,3
620,3
323,3
908,3
1311,3
1559,3
1122,3
1500,3
120,3
959,3
1360,3
506,3
1374,3
285,3
284,3
760,3
279,3
426,3
1948,3
1398,3
43,3
276,3
476,3
467,3
247,3
250,3
1973,3
1437,3
1436,3
1421,3
996,3
682,3
1052,3
1059,3
793,3
522,3
1085,3
521,3
199,3
1343,3
933,3
1075,3
398,3
518,3
1463,3
796,3
1633,3
515,3
1484,3
1834,3
939,3
1477,3
1354,3
71,3
567,3
1191,2
627,2
1189,2
608,2
1188,2
1568,2
633,2
1150,2
1988,2
30,2
958,2
938,2
813,2
814,2
922,2
921,2
822,2
824,2
830,2
884,2
2040,2
877,2
854,2
990,2
51,2
756,2
1100,2
1131,2
646,2
1127,2
659,2
1108,2
98,2
1091,2
995,2
1944,2
1026,2
1016,2
748,2
752,2
1001,2
719,2
566,2
413,2
1616,2
1590,2
1690,2
526,2
253,2
188,2
1684,2
259,2
186,2
183,2
1766,2
1769,2
393,2
1423,2
304,2
543,2
1330,2
1543,2
1496,2
1337,2
1720,2
382,2
498,2
1725,2
1727,2
1610,2
1710,2
225,2
517,2
1348,2
1611,2
1703,2
1749,2
1538,2
1698,2
395,2
232,2
1560,2
1491,2
1576,2
1215,2
1654,2
1284,2
1557,2
1661,2
291,2
1662,2
1836,2
1821,2
572,2
1483,2
1811,2
565,2
1545,2
1566,2
435,2
601,2
1459,2
1553,2
156,2
443,2
1646,1
1373,1
962,1
1394,1
1040,1
792,1
1478,1
414,1
1383,1
264,1
734,1
761,1
244,1
1021,1
423,1
2014,1
2005,1
47,1
1682,1
266,1
709,1
1967,1
1505,1
1426,1
1974,1
1424,1
1194,1
2021,1
1170,1
173,1
1303,1
545,1
546,1
1788,1
2037,1
639,1
153,1
560,1
146,1
615,1
611,1
331,1
1826,1
1864,1
1863,1
1829,1
1186,1
1214,1
1857,1
1575,1
1562,1
604,1
1202,1
1776,1
1600,1
887,1
86,1
1062,1
702,1
73,1
1069,1
1732,1
1072,1
1474,1
211,1
1743,1
1315,1
360,1
1345,1
2032,1
533,1
1334,1
326,1
532,1
23,0
1606,0
22,0
375,0
842,0
370,0
2015,0
337,0
1492,0
1630,0
889,0
817,0
1595,0
2036,0
1704,0
1641,0
1074,0
1341,0
685,0
681,0
1092,0
672,0
671,0
1326,0
181,0
1894,0
537,0
538,0
1278,0
161,0
1880,0
583,0
1223,0
112,0
1222,0
1837,0
1204,0
1850,0
686,0
228,0
1994,0
1933,0
777,0
773,0
286,0
977,0
988,0
48,0
450,0
451,0
1677,0
1002,0
1965,0
1963,0
1018,0
1408,0
735,0
726,0
1201,0
717,0
1051,0
1721,0
706,0
0,0
